Audio_file,Raga Name,Tonic,Remarks,Artist Hindustani Music,Artist Others,Singer,Instrument,Vocals,Type,Accompanist,Raga,Tala,Bol,Gharana,Doha,Kaand,Compositions,Occasion,Participants,Director,Producer,Composer,Narrator,Lyricist,Episode,First Line of Song,Items,State / Region,Performers Conductor,Creation Date,Modification Date,Modified By,Track Count,Track Version Count,number of 30 second files
Alhaiya_bilawal-1,Alhaiya_bilawal,D#,HINDUSTANI CLASSICAL VOCAL BY SURESH P. BAPAT,,,SURESH P. BAPAT,,,Vocal," TABLA-  SAMAY CHOLKAR,   HARMONIUM-  RAYA KORGAONKAR",ALHAIYA BILAWAL (MORNING),EK TAL,KANTHA MORE,,,,,AKASHWANI SANGEET SAMMELAN 2010,,,,,,,PART 01,KANTHA MORE,,GANGTOK,,22-05-2015 15:10,22-05-2015 15:10,Ingest,1,1,47
Vrindavani_sarang-1,Vrindavani_sarang,C#,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,BRINDAVANI SARANG (AFTERNOON),,JAAN MAAN TAAN SULTAN & GAMAK CHHUT AUR LAAGE.,,,,TARANA,,,,,,,,CUT-12,,,,,09-07-2015 16:19,09-07-2015 16:19,Ingest,1,1,6
Kaushiki_kanada-1,Kaushiki_kanada,D,HINDUSTANI CLASSICAL VOCAL BY MOHAN KUMAR DAREKAR,,,MOHAN KUMAR DAREKAR,,VOCAL RECITAL,Vocal," TABLA-   ARVIND KUMAR AZAD,   HARMONIUM-   SUBHASH DASAKKAR",KAUSHIK KANADA (NIGHT),EK TAL,RAJAN KE SARTAJ RAJA SHRI RAMCHANDRA,,,,,AKASHVANI SANGEET SAMMELAN,,,,,,,PART 02,RAJAN KE SARTAJ RAJA SHRI RAMCHANDRA,,TAMILNADU,,04-08-2015 12:27,04-08-2015 12:27,Ingest,1,1,61
Kirwani-2,Kirwani,D#,HINDUSTANI CLASSICAL VOCAL BY PT. RAJAN MISHRA & PT. SAJAN MISHRA,RAJAN MISHRA & SAJAN MISHRA (PANDIT) (VOCAL),,,,,Vocal, TABLA-  USTAD MOHAMMED AKRAM KHAN.   HARMONIUM-  MAHMOOD DHOLPURI,BHAJAN (ANYTIME),,JAGAT MAIN JHOOTI DEKHI PREET,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-02,,,,,22-07-2015 14:30,22-07-2015 14:30,Ingest,1,1,23
Devgandhar-1,Devgandhar,C#,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,DEVAGANDHAR (MORNING),,BARZORI NA KARO RE KANHAI.,,,,,,,,,,,,CUT-15,,,,,09-07-2015 16:29,09-07-2015 16:29,Ingest,1,1,9
Swanandi-2,Swanandi,D,HINDUSTANI CLASSICAL VOCAL BY SUDHIR POTE,,,SUDHIR POTE,,VOCAL RECITAL,Vocal," TABLA-  USTAD. ZAFAR MOHD.    HARMONIUM-  SUDHIR YARDI,  TANPURA- DR. SURBHI ARYA",SWANANDI (NIGHT),EK TAL,"JIYARA MANAT NAHI, MEGH BULAO",,,,,AKASHVANI SANGEET SAMMELAN-2013,,,,,,,PART 01,"JIYARA MANAT NAHI, MEGH BULAO",,RAJASTHAN,,03-08-2015 12:30,03-08-2015 12:30,Ingest,1,1,64
Bageshri-3,Bageshri,C,HINDUSTANI CLASSICAL VOCAL BY SHRI SANDIPAN SAMAJPATI,,,SHRI SANDIPAN SAMAJPATI,,,Vocal," TABLA-  SHRI PRASUN CHATTERJEE,   HARMONIUM-  SHRI JAIRAM POTDAR",BAGESHRI (NIGHT),EK TAL,,,,,,AKASHWANI SANGEET SAMMELAN-2009 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 01,,,ROHTAK,,04-06-2015 14:39,04-06-2015 14:39,Ingest,1,1,70
Bageshri-5,Bageshri,D#,HINDUSTANI CLASSICAL VOCAL BY VIDUSHI MANJARI ALEGAONKAR,,,VIDUSHI MANJARI ALEGAONKAR,,,Vocal,"TABLA-  SANJAY KARALIKAR,  HARMONIUM-  SHUBAHANGI R BHAVSAR, TANPURA- KEDAR NATH & ASHOK KUMAR, MANJEERA- SWAPAN WISHWAS",BAGESHRI (NIGHT),JHAPTAL,AB NA RAHOON MAIN,,,,,AKASHWANI SANGEET SAMMELAN 2012 (SPECIAL PROGRAMME OF MUSIC),,,,,,,PART 01,AB NA RAHOON MAIN,,DELHI,,01-06-2015 12:43,01-06-2015 12:43,Ingest,1,1,38
Bageshri-9,Bageshri,A,HINDUSTANI CLASSICAL VOCAL BY SADHANA DESMUKH MOHITE,,,SADHANA DESMUKHI MOHITE,,,Vocal,"TABLA-  ANANTH MASORKAR,  HARMONIUM-  SHRI MAHESH DUTT PANDAY",BAGESHRI (NIGHT),TILWADA,LAL MANAVE TU NAHIN MANI,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,LAL MANAVE TU NAHIN MANI,,DELHI,,12-05-2015 14:16,12-05-2015 14:16,Ingest,1,1,50
Bageshri-11,Bageshri,D#,HINDUSTANI CLASSICAL VOCAL BY D. KUMAR DAS,D. KUMAR DAS (VOCAL),,D. KUMAR DAS,,,Vocal," TABLA-   PT. RAGHUNATH NAKOD,   HARMONIUM-  DR. PANCHAKSHIRI HIREMATH",BAGESHRI (NIGHT),JHAPTAL,AAO MORE SAJNA,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 02,AAO MORE SAJNA,,DHARWAD,,16-06-2015 12:52,16-06-2015 12:52,Ingest,1,1,53
Bageshri-2,Bageshri,G,HINDUSTANI CLASSICAL VOCAL BY NEELA M. KODLI,,,NEELA M. KODLI,,,Vocal," TABLA-   VISHWANATH NAKOD,   HARMONIUM-   VASANT KANAKAPUR",BAGESHRI (NIGHT),TEEN TAL,KAUN GATA BHAI,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,KAUN GATA BHAI,,DHARWAD,,15-06-2015 15:37,15-06-2015 15:37,Ingest,1,1,57
Bageshri-6,Bageshri,D,HINDUSTANI CLASSICAL VOCAL BY SANDEEP BHATTACHARYA,,,SANDEEP BHATTACHARYA,,,Vocal," TABLA-  SANDEEP KUMAR ROY CHOUDHARY,   HARMONIUM-  RUPA SHREE BHATTACHARYA,  SARANGI- SARWAR HUSSAIN,  TANPURA-  RATHINDRANATH CHATTER",BAGESHRI (NIGHT),EK TAL,AI MOHE MANAWAN AYE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,AI MOHE MANAWAN AYE,,KOLKATA,,01-06-2015 14:15,01-06-2015 14:15,Ingest,1,1,58
Bageshri-7,Bageshri,D#,HINDUSTANI CLASSICAL VOCAL BY TUSHAAR DUTTA,,,TUSHAAR DUTTA,,,Vocal," TABLA-  AVIJIT BANDOPADHYAY,   HARMONIUM-  RUPSHREE BHATTACHARYA",BAGESHRI (NIGHT),EK TAL,SAKHI MAN LAGE NA,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,SAKHI MAN LAGE NA,,KOLKATA,,18-05-2015 12:48,18-05-2015 12:48,Ingest,1,1,65
Bageshri-8,Bageshri,G#,HINDUSTANI CLASSICAL VOCAL BY MINAKSHI MUKHERJEE,,,MINAKSHI MUKHERJEE,,,Vocal," TABLA-  GIRIESH NALAVDE,   HARMONIUM-  SUDHIR NAYAK",BAGESHRI (NIGHT),EK TAL,SUKH LAGI SAJAN,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,SUKH LAGI SAJAN,,MUMBAI,,08-06-2015 11:11,08-06-2015 11:11,Ingest,1,1,88
Puriya-4,Puriya,D#,HINDUSTANI CLASSICAL VOCAL BY CHANDRA SHEKHAR VAJHE,,,,,,Vocal, TABLA-   MUKUND RAJ DEV   HARMONIUM-  SRINIVAS ACHARYA,PURIYA (EVENING),EK TAL,AAJ MORE GHAR AAYO,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,22-07-2015 15:40,22-07-2015 15:40,Ingest,1,1,91
Tilak_kamod-1,Tilak_kamod,C#,HINDUSTANI CLASSICAL VOCAL BY VIDUSHI SAVITA DEVI,SAVITA DEVI (VOCAL),,,,,Vocal," TABLA-   KHADIM HUSSAIN KHAN,   HARMONIUM-   ZAMIR AHMED KHAN, VOCAL SUPPORT- DIPTI BANSAL,  SARANGI-  LIYAQAT ALI KHAN",TILAK KAMOD (NIGHT),,,,,,THUMARI,AKASHVANI SANGEET SAMMELAN - 2012,,,,,,,CUT-01,,,,,09-09-2015 11:06,09-09-2015 11:06,Ingest,1,1,111
Bhairavi-3,Bhairavi,D#,HINDUSTANI CLASSICAL VOCAL BY PRAKASH SANGEET,PRAKASH SANGEET (VOCAL),,,,,Vocal," TABLA-   VISHWANATH SHIRODKAR,  HARMONIUM-   SEEMA SHIRODKAR",  ,,MAT JAIYO JI JAMUNA KINARE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-03,,,,,22-07-2015 15:36,22-07-2015 15:36,Ingest,1,1,15
Khamaj-12,Khamaj,C#,HINDUSTANI CLASSICAL VOCAL BY MANI PRASAD,MANI PRASAD (VOCAL),,,,,Vocal,,KHAMAJ (NIGHT),,THUMRI KOYALYA KOOK SUNAYE RE SAKHI RE.,,,,,SPECIAL RECORDING FOR AIR,,,,,,,CUT-06,,,,,23-07-2015 11:12,23-07-2015 11:12,Ingest,1,1,9
Bageshri_bahar-2,Bageshri_bahar,D,HINDUSTANI CLASSICAL VOCAL BY GANAPATI BHAT HASANGI PART 01,,,GANAPATI BHAT HASANGI,,,Vocal,TABLA-  PRASUN CHATTERJEE  HARMONIUM-  MOHAN MUNGRO,BAGESHRI BAHAR (NIGHT),TEEN TAL,MAINE NA JANE JIYARA,,,,,AKASHVANI SANGEET SAMMELAN-2012,TABLA- PRASUN CHATTERJEE  HARMONIUM- MOHAN MUNGRO,,,,,,PART 01,,,BANGALORE,,09-02-2015 15:32,09-02-2015 15:32,Ingest,1,1,20
Suha_malhar-1,Suha_malhar,D#,HINDUSTANI CLASSICAL VOCAL BY PT. LAKSHMAN PRASAD JAIPURWALE,,,,,,Vocal,,N/A (),,NA JA RE NA JA RE PIYA PYARE.,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-02,,,,,10-07-2015 16:05,10-07-2015 16:05,Ingest,1,1,24
Bageshri_bahar-1,Bageshri_bahar,C,HINDUSTANI CLASSICAL VOCAL BY PT. YASH PAL,YASH PAL (PROF.) (VOCAL),,PT. YASH PAL,,,Vocal," TABLA-   PRASUN CHATTERJEE,  SARANGI-  PT. BHARAT BHUSHAN GOSWAMI,   HARMONIUM-   SAJJAD AHMED",BAGESHRI BAHAR (NIGHT),TILWADA,JARE JARE KAGWA JARE,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 01,JARE JARE KAGWA JARE,,JALANDHAR,,15-06-2015 16:01,15-06-2015 16:01,Ingest,1,1,82
Bageshri_kanada-1,Bageshri_kanada,A#,HINDUSTANI CLASSICAL VOCAL BY MALINI MUKHOPADHYA,,,,,N/AV,Vocal, TABLA-   PARIMAL CHAKARWATI  HARMONIUM-  RATAN NAT,BAGESHRI KANADA (NIGHT),TEEN TAL,JAON RE BAL BAL JAON.,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-02,,,,,08-07-2015 16:25,08-07-2015 16:25,Ingest,1,1,29
Bageshri_kanada-2,Bageshri_kanada,D,"HINDUSTANI CLASSICAL VOCAL BY AMIT MUKHERJEE,CUT- 02",,,AMIT MUKHERJEE,,VOCAL RECITAL,Vocal, TABLA-  SANDEEP KUMAR RAI CHAUDHARY   HARMONIUM-  SMT.RUPUSHREE BHATTACHARYA,BAGESHRI KANADA (NIGHT),JHOOMRA,GORE GORE MUKH PAR SOHE,,,,KHAYAL,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,KOLKATA,,10-06-2015 14:44,10-06-2015 14:44,Ingest,1,1,40
Raysa_kanada-1,Raysa_kanada,G#,"HINDUSTANI CLASSICAL VOCAL BY SHUBHADA PARADKAR, CUT- 01",SHUBHADA PARADKAR (VOCAL),,SHUBHADA PARADKAR,,VOCAL RECITAL,Vocal," TABLA-  DATTATRIYE GOKTE,  HARMONIUM-   PARAMOD MARATHE,",RAISA KANADA (NIGHT),TEEN TAL,"RI TUM SAMAJH, SAMAJH NAAHIN  KACHU",,,,VILAMBIT &DRUT GAT,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,AURANGABAD,,22-06-2015 14:29,22-06-2015 14:29,Ingest,1,1,55
Bhairav-2,Bhairav,C#,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,BHAIRAV (MORNING),EK TAL,KRISHAN CHANDRA NAND NANDAN BANSURI WALE & DHANNA BHAKT NAMDEV.,,,,TARANA,,,,,,,,CUT-07,,,,,09-07-2015 16:01,09-07-2015 16:01,Ingest,1,1,8
Bahar-2,Bahar,E,HINDUSTANI CLASSICAL VOCAL BY NISHAD BAAKRE,,,NISHAD BAAKRE,,,Vocal,"TABLA-  SATYAJEET TALWALKAR,  HARMONIUM- SUDHIR NAIK",BAHAR (NIGHT),JHAPTAL,MAYERI,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 02,MAYERI,,MUMBAI,,15-06-2015 15:07,15-06-2015 15:07,Ingest,1,1,22
Bahar-1,Bahar,C#,"HINDUSTANI CLASSICAL VOCAL BY DR.DAMODAR HOTA , CUT- 02",,,DR. DAMODAR HOTA,,VOCAL RECITAL,Vocal,TABLA-  PT. UMESH CHANDRAKAR  HARMONIUM-  SHRI SANATAN GOSWAMI,BAHAR (NIGHT),TEEN TAL,,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,DELHI,,04-06-2015 15:28,04-06-2015 15:28,Ingest,1,1,17
Bageshri-4,Bageshri,D,HINDUSTANI CLASSICAL VOCAL BY RATAN MOHAN SHARMA,,,RATAN MOHAN SHARMA,,,Vocal," TABLA-  BALKRISHNA IYER,   HARMONIUM-   AJAY JOGLEKAR",BAGESHRI (NIGHT),EK TAL,KAUN GAT BHAE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 01,KAUN GAT BHAE,,MUMBAI,,19-06-2015 11:44,19-06-2015 11:44,Ingest,1,1,70
Basant-2,Basant,D#,HINDUSTANI CLASSICAL VOCAL BY M. VENKATESH KUMAR,,,M.VENKATESHKUMAR,,,Vocal," TABLA-   TULSI DAS NAVELKAR,   HARMONIUM-  SHRI RAVINDRA KATOTI",BASANT (NIGHT),,,,,,,AKASHWANI SANGEET SAMMELAN (SPECIAL PROGRAMME OF MUSIC),,,,HARI DASS,,,PART 03,,,DHARWAD,,15-06-2015 10:58,15-06-2015 10:58,Ingest,1,1,22
Khamaj-9,Khamaj,G#,"HINDUSTANI CLASSICAL VOCAL BY SHUBHADA PARADKAR, CUT- 02",SHUBHADA PARADKAR (VOCAL),,SHUBHADA PARADKAR,,VOCAL RECITAL,Tappa," TABLA-  DATTATRIYE GOKTE,  HARMONIUM-   PARAMOD MARATHE, VIOLIN-  RATNAKAR GOKHLE",KHAMAJ (NIGHT),PASHTO,MAANDITE KHABAR NA JAANDA,,,,TAPPA,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,AURANGABAD,,22-06-2015 14:37,22-06-2015 14:37,Ingest,1,1,24
Basant-1,Basant,A,"HINDUSTANI CLASSICAL VOCAL BY SADHNA DESMUKH MOHITE, CUT- 02",,,SADHNA DESHMUKH MOHITE,,VOCAL RECITAL,Tarana," TABLA-  MILIND POTE,   HARMONIUM-  MILIND KULKARNI",BASANT (NIGHT),TEEN TAL,YA HI MADHAV YA HI KESHAV,,,,MADHYALAYA GAT,RAVI VASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,,,,PUNE,,05-06-2015 16:30,05-06-2015 16:30,Ingest,1,1,30
Basant-3,Basant,C#,HINDUSTANI CLASSICAL VOCAL BY DR. DAMODAR HOTA CUT- 01,DAMODAR HOTA (VOCAL),,DR. DAMODAR HOTA,,VOCAL RECITAL,Vocal,TABLA-  PT. UMESH CHANDRAKAR  HARMONIUM-  SHRI SANATAN GOSWAMI,BASANT (NIGHT),EK TAL,,,,,VILAMBIT &DRUT GAT,NATIONAL PROGRAMME OF MUSIC,,,,,,,,,,DELHI,,04-06-2015 15:17,04-06-2015 15:17,Ingest,1,1,37
Basant-4,Basant,D#,HINDUSTANI CLASSICAL VOCAL BY VINYAK TORVI,VINAYAK TORVI (VOCAL),,VINAYAK TORVI,,VOCAL RECITAL,Vocal, HARMONIUM-  VYAS MURTI KATTI,BASANT (NIGHT),TEEN TAL,BAGVA RANG KHELAN KO CHALO RE,,,,MADHYALAYA GAT,AKASHVANI SANGEET SAMMELAN,,,,,,,PART 1,,,INDORE,,02-06-2015 11:41,02-06-2015 11:41,Ingest,1,1,13
Basant_bahar-1,Basant_bahar,A#,HINDUSTANI CLASSICAL VOCAL BY MANDIRA LAHIRI (TAAL-MADHIYALAY IN TEEN TAAL & DRUT EK TAAL) PART 02,,,MANDIRA LAHIRI,,,Vocal,"TABLA-  SABIR KHAN,   HARMONIUM-  HIRENMOY MITRA",BASANT BAHAR (NIGHT),EK TAL,RATIYAIN KO AB FAGUN MASS AAYO RE,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,"TABLA-  SABIR KHAN,   HARMONIUM-  HIRENMOY MITRA",,,,,,PART 02,,,,,11-02-2015 12:49,11-02-2015 12:49,Ingest,1,1,29
Jayant_malhar-2,Jayant_malhar,A,HINDUSTANI CLASSICAL VOCAL BY MADHURI OKA,MADHURI OKA (VOCAL),,,,,Vocal, TABLA-   SATISH CHANDRA CHOUDHARY   VIOLIN-   RATNAKAR GOKHALE,JAYANT MALHAR (NIGHT),JHAPTAL,AE RI KAISE DIN KATE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-02,,,,,29-07-2015 11:57,29-07-2015 11:57,Ingest,1,1,32
Basant_kedar-2,Basant_kedar,A,HINDUSTANI CLASSICAL VOCAL BY NEELAKSHI JUVEKAR,,,,,,Vocal, TABLA-   OMKAR GULVADI   HARMONIUM-   AANANT JOSHI,BASANT KEDAR (NIGHT),TEEN TAL,ATTAR SUGANDH,,,,,RAVIVARSARIYA AKHIL BHARATIYA SANGEET SABHA,,,,,,,CUT-01,,,,,24-07-2015 16:04,24-07-2015 16:04,Ingest,1,1,25
Sohni-3,Sohni,E,HINDUSTANI CLASSICAL VOCAL BY M. VENKATESH KUMAR,,,M. VENKATESH KUMAR,,,Vocal," TABLA-  PANDIT RAGHUNATHNAKOD,   HARMONIUM-  VASANT KANAKAPUR",SOHINI (NIGHT),TEEN TAL,KAHE KARAT MOSE RARA KANHAYA,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,PART 02,KAHE KARAT MOSE RARA KANHAYA,,DHARWAD,,08-05-2015 16:46,08-05-2015 16:46,Ingest,1,1,30
Basant_kedar-1,Basant_kedar,G#,"HINDUSTANI CLASSICAL VOCAL BY SHRUTI SADOLIKAR, CUT- 02",SHRUTI SADOLIKAR (VOCAL),,SHRUTI SADOLIKAR,,VOCAL RECITAL,Vocal, TABLA-   SHRI DEEPAK GARUD- INDORE   HARMONIUM-  SHRI MOHAN MOONGRE-INDORE  SARANGI-  SHRI ANWAR HUSSIAN-STAFF-MUMBAI,BASANT KEDAR (NIGHT),TEEN TAL,ATARA SUGANDHA,,,,,AKASHVANI SANGEET SAMMELAN-2009,,,,,,,,,,INDORE,,10-06-2015 16:00,10-06-2015 16:00,Ingest,1,1,35
Shyam_kalyan-2,Shyam_kalyan,A,HINDUSTANI CLASSICAL VOCAL BY VIDUSHI MANIK VERMA,MANIK VERMA (VOCAL),,,,,Vocal, TABLA-   LAL JI GOKHALE  SARANGI-  USTAD GHULAM SABIR,SHYAM KALYAN (NIGHT),EK TAL,PARAM DHYAN DHARE,,,,,NATIONAL PROGRAMME OF MUSIC,,,,,,,CUT-01,,,,,27-07-2015 11:53,27-07-2015 11:53,Ingest,1,1,76
Bhairavi-1,Bhairavi,C#,HINDUSTANI CLASSICAL VOCAL BY DR. SHASHI KANT MANOHAR TAMBE PART 03,,,DR. SHASHI KANT MANOHAR TAMBE,,,Vocal," VIOLIN-  KAMAL KAMALE,   HARMONIUM- VIVEK BANSOD,  TABGLA-SANGEETA AGNIHOTRI",BHAIRAV (MORNING),,RAS KE BHARE THORE NAIN,,,,,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA," VIOLIN-  KAMAL KAMALE,   HARMONIUM- VIVEK BANSOD,  TABGLA-SANGEETA AGNIHOTRI",,,,,,PART 03,,,,,12-02-2015 15:05,12-02-2015 15:05,Ingest,1,1,31
Jaunpuri-3,Jaunpuri,C#,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,JAUNPURI (MORNING),,BISAR GAYI MORE SAIYYAN.,,,,,,,,,,,,CUT-17,,,,,09-07-2015 16:36,09-07-2015 16:36,Ingest,1,1,9
Gujri_todi-1,Gujri_todi,C#,HINDUSTANI CLASSICAL VOCAL BY PT. YASHPAL,,,,,,Vocal,,GUJRI TODI (MORNING),,DHEET LANGARWA KAHE KO ROKAT HO.,,,,,,,,,,,,CUT-16,,,,,09-07-2015 16:32,09-07-2015 16:32,Ingest,1,1,9
Bhairavi-13,Bhairavi,A,HINDUSTANI CLASSICAL VOCAL BY POORNIMA BHATT KULKARNI,,,POORNIMA BHATT KULKARNI,,VOCAL RECITAL,Vocal,"TABLA- VISHWANATH NAKOD,  HARMONIUM- VYASAMURTHI KATTI",BHAIRAVI (MORNING),,,,,,BHAJAN,RAVIVASARIYA AKHIL BHARTIYA SANGEET SABHA,,,,,,,PART 03,,,KARNATAKA,,13-08-2015 15:42,13-08-2015 15:42,Ingest,1,1,12
